full_1,full_10,full_11,coarse_12,fines_12,coarse_13,fines_13,coarse_14,fines_14,coarse_15,fines_15,coarse_sam_16,coarse_stephen_16,fines_sam_16,fines_stephen_16,coarse_17,fines_17,coarse_18,fines_18,coarse_19,fines_19,coarse_2,fines_2,coarse_20,fines_20,coarse_3,fines_3,coarse_4,fines_4,coarse_5,fines_sam_5,fines_stephen_5,fines_stephen_2_5,coarse_6,fines_6,coarse_7,fines_7,full_8,coarse_9,fines_9
12,18,10,77,13,18,20,143,58,79,30,81,115,86,68,111,94,210,68,120,136,87,40,111,80,82,18,28,21,212,89,192,39,87,105,156,228,78,172,202
99,57,22,59,11,40,115,53,73,36,26,24,75,14,37,133,109,11,67,12,10,80,22,52,45,12,30,23,40,32,53,17,107,33,99,31,68,112,37,15
51,41,15,19,49,25,21,72,40,38,98,115,62,32,167,29,82,112,35,125,40,22,79,91,82,30,95,58,48,52,10,66,24,91,56,130,71,35,142,45
114,130,22,101,13,24,25,28,29,37,42,83,110,31,75,38,142,40,70,18,178,34,31,22,21,81,52,34,92,64,37,34,37,171,44,122,29,197,67,47
42,37,23,47,34,121,40,103,26,81,51,10,34,18,81,71,35,242,54,15,175,90,67,34,100,13,14,24,78,27,71,97,122,14,78,150,115,171,50,48
33,16,13,43,14,69,128,71,47,61,32,235,98,117,90,21,45,34,102,285,70,59,18,136,77,27,28,104,75,245,32,33,40,14,40,172,140,105,153,172
77,131,17,98,23,135,35,67,52,73,22,117,68,11,40,101,93,36,78,140,33,72,83,63,38,40,29,43,97,103,48,83,54,162,36,78,187,62,16,194
82,40,10,63,41,46,20,77,37,53,72,128,78,43,17,106,75,75,81,57,64,149,31,66,65,43,17,64,20,35,50,20,52,56,71,125,82,17,55,85
46,15,45,85,47,202,73,13,105,66,18,167,38,128,46,30,122,225,42,11,57,102,103,24,87,195,20,10,38,123,57,95,50,73,18,55,97,140,56,122
15,49,23,48,26,114,90,86,30,42,72,112,71,27,37,81,60,27,11,160,49,40,62,42,32,175,81,50,38,37,27,24,14,17,112,45,155,140,48,72
50,52,31,51,55,35,45,92,78,101,37,181,136,46,36,13,55,55,41,122,40,38,11,36,85,37,38,82,23,52,67,54,46,38,70,44,116,60,119,96
187,61,20,46,21,107,72,61,11,67,72,41,110,165,158,71,76,22,110,45,113,17,27,98,40,65,51,66,47,51,49,32,45,10,18,135,72,105,92,185
72,41,16,41,35,26,15,53,32,25,70,93,168,52,122,111,181,22,23,19,11,72,120,41,125,82,16,52,58,66,26,150,85,62,33,46,52,70,132,90
49,142,24,86,28,42,83,240,25,45,41,99,62,78,58,89,163,273,45,51,54,49,67,64,92,54,102,82,93,37,135,77,65,58,102,182,67,11,63,197
27,18,35,22,10,88,19,14,98,63,35,143,82,33,42,240,68,98,97,108,211,113,19,67,71,22,80,93,27,20,51,45,88,16,77,72,31,136,106,35
26,31,12,60,27,112,31,57,96,110,80,27,25,12,50,60,75,56,103,143,76,31,48,230,81,75,10,128,85,148,73,60,28,69,31,217,245,56,27,82
27,75,45,52,35,10,34,125,50,98,64,175,40,18,10,37,144,77,18,60,51,52,26,63,95,209,40,135,21,35,45,14,42,44,138,53,45,58,72,119
38,17,53,73,34,29,140,132,13,35,36,21,47,45,51,67,125,10,98,22,35,55,28,74,81,25,19,16,90,112,25,30,66,110,36,206,155,11,18,73
51,43,31,112,62,138,91,61,100,16,17,103,93,34,32,55,59,13,94,118,36,16,39,111,110,113,102,12,146,160,114,17,60,443,47,305,16,88,64,112
174,42,27,62,13,110,46,115,64,121,82,100,44,145,23,131,73,68,73,27,59,19,99,360,73,116,94,47,48,340,69,21,55,228,94,87,67,95,91,34
29,33,36,44,28,47,18,139,67,52,82,21,44,47,114,122,120,17,42,22,61,43,64,270,20,14,43,141,11,28,198,70,95,22,76,155,74,55,17,33
122,54,23,66,18,182,67,215,69,81,62,61,48,71,60,130,77,41,92,78,40,68,41,94,42,77,19,15,65,167,38,166,135,56,76,140,158,101,142,112
33,21,10,24,48,73,47,97,138,61,14,85,320,62,23,103,17,69,112,147,50,136,17,164,152,50,37,260,69,93,246,32,45,57,107,320,30,14,57,86
